EVACode,UICCode,code,ingangsDatum,heeftFaciliteiten,heeftReisassistentie,heeftVertrektijden,land,lat,lng,radius,naderenRadius,namen,synoniemen,nearbyMeLocationId,sporen,stationType,cdCode
8400201,8400201,EDC,2020-05-13,True,True,True,NL,52.0436096191406,5.66833353042603,200,1200,"{'lang': 'Ede Centrum', 'middel': 'Ede C.', 'kort': 'Ede C'}",[],"{'value': 'EDC', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,201.0
8400202,8400202,EEM,2020-09-01,True,True,True,NL,53.458419,6.832,200,1200,"{'lang': 'Eemshaven', 'middel': 'Eemshaven', 'kort': 'Eemshaven'}",[],"{'value': 'EEM', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,202.0
8400206,8400206,EHV,2019-12-15,True,True,True,NL,51.4433326721191,5.48138904571533,525,1200,"{'lang': 'Eindhoven Centraal', 'middel': 'Eindhoven C.', 'kort': 'Eindhovn C'}","['Eindhoven', 'Eindhoven CS']","{'value': 'EHV', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '5'}, {'spoorNummer': '6'}]",MEGA_STATION,206.0
8400207,8400207,EST,2014-04-02,True,True,True,NL,51.9169425964355,5.85500001907349,525,1600,"{'lang': 'Elst', 'middel': 'Elst', 'kort': 'Elst'}",[],"{'value': 'EST', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}]",KNOOPPUNT_STOPTREIN_STATION,207.0
8400208,8400208,EMN,2020-05-13,True,True,True,NL,52.7900009155273,6.89944458007812,200,1600,"{'lang': 'Emmen', 'middel': 'Emmen', 'kort': 'Emmen'}",[],"{'value': 'EMN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",SNELTREIN_STATION,208.0
8400210,8400210,EKZ,1990-01-01,True,True,True,NL,52.6991653442383,5.28638887405396,200,1200,"{'lang': 'Enkhuizen', 'middel': 'Enkhuizen', 'kort': 'Enkhuizen'}",[],"{'value': 'EKZ', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,210.0
8400212,8400212,ES,2021-06-21,True,True,True,NL,52.2224998474121,6.8899998664856,525,1200,"{'lang': 'Enschede', 'middel': 'Enschede', 'kort': 'Enschede'}",[],"{'value': 'ES', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4a'}, {'spoorNummer': '4b'}]",KNOOPPUNT_INTERCITY_STATION,212.0
8400216,8400216,EML,1990-01-01,True,True,True,NL,52.3016662597656,5.61472225189209,200,1200,"{'lang': 'Ermelo', 'middel': 'Ermelo', 'kort': 'Ermelo'}",[],"{'value': 'EML', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,216.0
8400012,8400217,ESE,2020-05-13,True,True,True,NL,52.2213897705078,6.95111131668091,200,1200,"{'lang': 'Enschede De Eschmarke', 'middel': 'De Eschmarke', 'kort': 'Eschmarke'}","['Eschmarke', 'De Eschmarke']","{'value': 'ESE', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,217.0
8400218,8400218,ETN,2011-05-01,True,True,True,NL,51.5750007629395,4.63583326339722,260,1600,"{'lang': 'Etten-Leur', 'middel': 'Etten-Leur', 'kort': 'Etten-Leur'}",[],"{'value': 'ETN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",INTERCITY_STATION,218.0
8400219,8400219,EDN,2011-05-01,True,True,True,NL,50.7719459533691,5.71000003814697,200,1200,"{'lang': 'Eijsden', 'middel': 'Eijsden', 'kort': 'Eijsden'}",[],"{'value': 'EDN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,219.0
8400213,8400221,ESK,2017-12-10,True,True,True,NL,52.2374992370605,6.83888912200928,200,1600,"{'lang': 'Enschede Kennispark', 'middel': 'Kennispark', 'kort': 'Kennispark'}",[],"{'value': 'ESK', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,221.0
8400024,8400226,ALMO,2023-12-10,True,True,True,NL,52.4033317565918,5.30055570602417,200,1200,"{'lang': 'Almere Oostvaarders', 'middel': 'Oostvaarders', 'kort': 'Oostvaard'}",[],"{'value': 'ALMO', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,226.0
8400029,8400227,AHZ,2014-04-02,True,True,True,NL,51.9550018310547,5.85194444656372,200,1600,"{'lang': 'Arnhem Zuid', 'middel': 'Arnhem Zuid', 'kort': 'Arnhem Z'}",[],"{'value': 'AHZ', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,227.0
8400031,8400228,AVAT,2006-05-28,True,True,True,NL,52.1927795410156,5.43388891220093,200,1200,"{'lang': 'Amersfoort Vathorst', 'middel': 'Vathorst', 'kort': 'Vathorst'}",[],"{'value': 'AVAT', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}]",STOPTREIN_STATION,228.0
8400033,8400229,APDO,2006-12-10,True,True,True,NL,52.2152786254883,6.00444459915161,200,1600,"{'lang': 'Apeldoorn Osseveld', 'middel': 'Osseveld', 'kort': 'Osseveld'}",[],"{'value': 'APDO', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,229.0
8400230,8400230,BKF,1990-01-01,True,True,True,NL,52.6961097717285,5.25277757644653,250,1200,"{'lang': 'Bovenkarspel Flora', 'middel': 'Bovenkarspel Fl.', 'kort': 'Bovenk Flo'}",[],"{'value': 'BKF', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,230.0
8400076,8400231,ASHD,2011-05-01,True,True,True,NL,52.29844,4.95972,200,1200,"{'lang': 'Amsterdam Holendrecht', 'middel': 'Holendrecht', 'kort': 'Holendrcht'}",[],"{'value': 'ASHD', 'type': 'stationV2'}","[{'spoorNummer': '2'}, {'spoorNummer': '5'}]",STOPTREIN_STATION,231.0
8400232,8400232,FN,2020-09-01,True,True,True,NL,53.1824488,5.5483094,200,1200,"{'lang': 'Franeker', 'middel': 'Franeker', 'kort': 'Franeker'}",['Frjentsjer'],"{'value': 'FN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,232.0
